---------------------------------------------------------------------------------------------------
Date: 6/15/2026 -- 08:17:16 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
tcp.invalid_checksum                                         | Total                     | 6
tcp.segment_from_pool                                        | Total                     | 2
detect.alert                                                 | Total                     | 2
app_layer.flow.http                                          | Total                     | 1
app_layer.tx.http                                            | Total                     | 1
flow.end.state.new                                           | Total                     | 2
flow.mgr.full_hash_pass                                      | Total                     | 5
flow.mgr.rows_per_sec                                        | Total                     | 9175
flow.spare                                                   | Total                     | 9702
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 7
flow.mgr.flows_notimeout                                     | Total                     | 5
flow.mgr.flows_timeout                                       | Total                     | 2
flow.mgr.flows_evicted                                       | Total                     | 2
memcap.pressure                                              | Total                     | 14
memcap.pressure_max                                          | Total                     | 14
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 2
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 9961472
tcp.reassembly_memuse                                        | Total                     | 1839104
http.memuse                                                  | Total                     | 336
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 6/15/2026 -- 08:17:56 (uptime: 0d, 00h 00m 48s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 40
capture.afpacket.polls                                       | Total                     | 7084
capture.afpacket.poll_timeout                                | Total                     | 7069
capture.afpacket.poll_data                                   | Total                     | 15
decoder.pkts                                                 | Total                     | 40
decoder.bytes                                                | Total                     | 3830
decoder.ipv4                                                 | Total                     | 20
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 40
decoder.arp                                                  | Total                     | 12
decoder.tcp                                                  | Total                     | 20
tcp.syn                                                      | Total                     | 2
tcp.synack                                                   | Total                     | 2
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 95
decoder.max_pkt_size                                         | Total                     | 477
tcp.active_sessions                                          | Total                     | 1
flow.total                                                   | Total                     | 4
flow.active                                                  | Total                     | 2
flow.tcp                                                     | Total                     | 2
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 3
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
tcp.invalid_checksum                                         | Total                     | 6
tcp.segment_from_pool                                        | Total                     | 2
detect.alert                                                 | Total                     | 2
app_layer.flow.http                                          | Total                     | 1
app_layer.tx.http                                            | Total                     | 1
flow.end.state.new                                           | Total                     | 2
flow.mgr.full_hash_pass                                      | Total                     | 6
flow.mgr.rows_per_sec                                        | Total                     | 9175
flow.spare                                                   | Total                     | 9702
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 7
flow.mgr.flows_notimeout                                     | Total                     | 5
flow.mgr.flows_timeout                                       | Total                     | 2
flow.mgr.flows_evicted                                       | Total                     | 2
memcap.pressure                                              | Total                     | 14
memcap.pressure_max                                          | Total                     | 14
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 2
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 9961472
tcp.reassembly_memuse                                        | Total                     | 1839104
http.memuse                                                  | Total                     | 336
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 6/15/2026 -- 08:18:04 (uptime: 0d, 00h 00m 56s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 40
capture.afpacket.polls                                       | Total                     | 8516
capture.afpacket.poll_timeout                                | Total                     | 8501
capture.afpacket.poll_data                                   | Total                     | 15
decoder.pkts                                                 | Total                     | 40
decoder.bytes                                                | Total                     | 3830
decoder.ipv4                                                 | Total                     | 20
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 40
decoder.arp                                                  | Total                     | 12
decoder.tcp                                                  | Total                     | 20
tcp.syn                                                      | Total                     | 2
tcp.synack                                                   | Total                     | 2
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 95
decoder.max_pkt_size                                         | Total                     | 477
tcp.active_sessions                                          | Total                     | 1
flow.total                                                   | Total                     | 4
flow.active                                                  | Total                     | 2
flow.tcp                                                     | Total                     | 2
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 3
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
tcp.invalid_checksum                                         | Total                     | 6
tcp.segment_from_pool                                        | Total                     | 2
detect.alert                                                 | Total                     | 2
app_layer.flow.http                                          | Total                     | 1
app_layer.tx.http                                            | Total                     | 1
flow.end.state.new                                           | Total                     | 2
flow.mgr.full_hash_pass                                      | Total                     | 7
flow.mgr.rows_per_sec                                        | Total                     | 9175
flow.spare                                                   | Total                     | 9702
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 7
flow.mgr.flows_notimeout                                     | Total                     | 5
flow.mgr.flows_timeout                                       | Total                     | 2
flow.mgr.flows_evicted                                       | Total                     | 2
memcap.pressure                                              | Total                     | 14
memcap.pressure_max                                          | Total                     | 14
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 2
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 9961472
tcp.reassembly_memuse                                        | Total                     | 1839104
http.memuse                                                  | Total                     | 336
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 6/15/2026 -- 08:18:12 (uptime: 0d, 00h 01m 04s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 40
capture.afpacket.polls                                       | Total                     | 9939
capture.afpacket.poll_timeout                                | Total                     | 9924
capture.afpacket.poll_data                                   | Total                     | 15
decoder.pkts                                                 | Total                     | 40
decoder.bytes                                                | Total                     | 3830
decoder.ipv4                                                 | Total                     | 20
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 40
decoder.arp                                                  | Total                     | 12
decoder.tcp                                                  | Total                     | 20
tcp.syn                                                      | Total                     | 2
tcp.synack                                                   | Total                     | 2
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 95
decoder.max_pkt_size                                         | Total                     | 477
tcp.active_sessions                                          | Total                     | 1
flow.total                                                   | Total                     | 4
flow.active                                                  | Total                     | 2
flow.tcp                                                     | Total                     | 2
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 3
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
tcp.invalid_checksum                                         | Total                     | 6
tcp.segment_from_pool                                        | Total                     | 2
detect.alert                                                 | Total                     | 2
app_layer.flow.http                                          | Total                     | 1
app_layer.tx.http                                            | Total                     | 1
flow.end.state.new                                           | Total                     | 2
flow.mgr.full_hash_pass                                      | Total                     | 8
flow.mgr.rows_per_sec                                        | Total                     | 9175
flow.spare                                                   | Total                     | 9702
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 7
flow.mgr.flows_notimeout                                     | Total                     | 5
flow.mgr.flows_timeout                                       | Total                     | 2
flow.mgr.flows_evicted                                       | Total                     | 2
memcap.pressure                                              | Total                     | 14
memcap.pressure_max                                          | Total                     | 14
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 2
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 9961472
tcp.reassembly_memuse                                        | Total                     | 1839104
http.memuse                                                  | Total                     | 336
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 6/15/2026 -- 08:18:20 (uptime: 0d, 00h 01m 12s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 40
capture.afpacket.polls                                       | Total                     | 10887
capture.afpacket.poll_timeout                                | Total                     | 10872
capture.afpacket.poll_data                                   | Total                     | 15
decoder.pkts                                                 | Total                     | 40
decoder.bytes                                                | Total                     | 3830
decoder.ipv4                                                 | Total                     | 20
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 40
decoder.arp                                                  | Total                     | 12
decoder.tcp                                                  | Total                     | 20
tcp.syn                                                      | Total                     | 2
tcp.synack                                                   | Total                     | 2
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 95
decoder.max_pkt_size                                         | Total                     | 477
tcp.active_sessions                                          | Total                     | 1
flow.total                                                   | Total                     | 4
flow.active                                                  | Total                     | 2
flow.tcp                                                     | Total                     | 2
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 3
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
tcp.invalid_checksum                                         | Total                     | 6
tcp.segment_from_pool                                        | Total                     | 2
detect.alert                                                 | Total                     | 2
app_layer.flow.http                                          | Total                     | 1
app_layer.tx.http                                            | Total                     | 1
flow.end.state.new                                           | Total                     | 2
flow.mgr.full_hash_pass                                      | Total                     | 9
flow.mgr.rows_per_sec                                        | Total                     | 9175
flow.spare                                                   | Total                     | 9702
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 7
flow.mgr.flows_notimeout                                     | Total                     | 5
flow.mgr.flows_timeout                                       | Total                     | 2
flow.mgr.flows_evicted                                       | Total                     | 2
memcap.pressure                                              | Total                     | 14
memcap.pressure_max                                          | Total                     | 14
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 2
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 9961472
tcp.reassembly_memuse                                        | Total                     | 1839104
http.memuse                                                  | Total                     | 336
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 6/15/2026 -- 08:18:28 (uptime: 0d, 00h 01m 20s)
---------------------------------------------------------------------------------------------------
